	pfam	uid
0		17
1	CL0100,PF01266	2
2	CL1350,PF01266	1
3	PF00109,PF00550,PF00698,PF02801,PF08659,PF16197	8
4	PF00109,PF00550,PF02801,PF08659,PF16197	6
5	PF00109,PF00550,PF02801,PF08659,PF16197,PF95024	1
6	PF00155,PF01070	2
7	PF00173,PF01070	5
8	PF00301,PF01070	2
9	PF00550,PF00561,PF08659,PF14765	1
10	PF00929,PF01070	1
11	PF01070	265
12	PF01070,PF18603	1
13	PF01266	397
14	PF01266,PF04324	24
15	PF01266,PF39027	1
16	PF01565	73
17	PF01565,PF02754,PF02913,PF11880,PF12447,PF13183	9
18	PF01565,PF02754,PF02913,PF13183	1
19	PF01565,PF02913	312
20	PF02754	32
21	PF02754,PF12838	1
22	PF02754,PF13183	3
23	PF02913	8
24	PF13183	1
25	PF18690	1
