name	synthesized	substrate_available	rep1_soluble	rep1_active	rep2_soluble	rep2_active	rep3_soluble	rep3_active	total_soluble	total_active
A0A009R9Y9	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A011PLX9	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA
A0A011PRP2	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA
A0A011QK89	Yes	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	Yes
A0A011QNG9	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA
A0A021XIZ9	Yes	Yes	No	NA	Yes	Yes	Yes	No	Yes	No
A0A060V429	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No
A0A069BCI2	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
A0A072U3L8	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A075G455	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A075UVN3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
A0A077SBA9	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
A0A084FXN6	Yes	Yes	Yes	No	No	NA	No	NA	No	NA
A0A090HGN3	Yes	Yes	No	NA	No	NA	Yes	No	No	NA
A0A090SY56	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
A0A098BP00	Yes	Yes	Yes	No	Yes	No	No	NA	Yes	No
A0A098G1S3	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0A1DTG4	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0B0I4X4	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
A0A0B2PSV8	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No
A0A0B2SW96	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0D6I3R9	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0E0U9H7	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0G8ECN8	Yes	Yes	No	NA	No	NA	Yes	Yes	No	NA
A0A0H2LZ12	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0H5NLD1	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0H6MLS9	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J1FVG5	Yes	Yes	Yes	No	Yes	No	No	NA	Yes	No
A0A0K2AU21	Yes	Yes	Yes	Yes	Yes	No	No	NA	Yes	No
A0A0K3B0A9	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
A0A0K3B8Q2	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0M2HFS4	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0M2HS64	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0M2HW49	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
A0A0N7HBH8	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
A0A0P7Z009	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0R3K2G2	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A0A0T8KNF0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
A0A0T9GPF7	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
A0A0T9WB25	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0U0DJH6	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
A0A0U0FBE7	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
A0A0U0TLA9	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0U0ZUN7	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0U1AC57	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U1AV60	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0U1CBT0	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
A0A0U3IJJ5	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U5NXR6	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
A0A0U5PE87	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U6K8E5	Yes	Yes	Yes	Yes	Yes	Yes	No	NA	Yes	Yes
A0A0W0SKN3	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0W0YNV0	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA
A0A0W0YYP4	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A0A0W1NM66	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4X855	Yes	Yes	No	NA	No	NA	No	NA	No	NA
A5LGE0	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
A5WBI8	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes
A6APT8	Yes	Yes	No	NA	Yes	Yes	Yes	Yes	Yes	Yes
A8L4C3	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B2IZE6	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
B2J344	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B7PIZ7	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B7PPE8	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B8MB95	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B8MKR3	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
B8MMC0	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
B9NTK7	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No
B9RYU4	Yes	Yes	No	NA	No	NA	No	NA	No	NA
B9XBS0	Yes	Yes	No	NA	No	NA	No	NA	No	NA
C0RGR6	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
C0VIB9	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
C2K1F0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
C3JT83	Yes	Yes	No	NA	No	NA	No	NA	No	NA
C8CCV9	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No
C8PB99	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
D1A2X8	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
D5AQN9	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
D8N7C7	Yes	Yes	Yes	No	Yes	No	No	NA	Yes	No
E6SCX5	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
F2RDU8	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
F6CI10	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
F9UTP6	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
F9Y7M7	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No
F9ZDM3	Yes	Yes	No	NA	No	NA	Yes	Yes	No	NA
G0AHZ0	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
G7HWX2	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
H0E3U3	Yes	Yes	No	NA	No	NA	No	NA	No	NA
H0RVQ4	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
H3REB4	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No
H5VAZ0	Yes	Yes	No	NA	No	NA	No	NA	No	NA
I4EYC0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
I4H4C1	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
I7HM50	Yes	Yes	Yes	No	Yes	No	No	NA	Yes	No
J7LQA3	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
K6YSI9	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
L0R6N4	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
L7FHG6	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
L7VAP8	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
M1ZF78	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
M4UHN0	Yes	Yes	Yes	No	No	NA	No	NA	No	NA
M5C7F4	Yes	Yes	No	NA	No	NA	No	NA	No	NA
M5C8F8	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No
M5CB66	Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	No
M5FIH9	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
M7MTF7	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
N1M667	Yes	Yes	No	NA	No	NA	Yes	No	No	NA
Q0I8G2	Yes	Yes	No	NA	No	NA	Yes	No	No	NA
Q0IDM6	Yes	Yes	No	NA	No	NA	No	NA	No	NA
Q0RGV3	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
Q0S9X3	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q15TJ7	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
Q2JG59	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
Q2KC17	Yes	Yes	No	NA	No	NA	No	NA	No	NA
Q2LXM8	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q394C4	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
Q3F0R7	Yes	Yes	No	NA	No	NA	Yes	No	No	NA
Q3ICJ7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Q3J7P4	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q46IL6	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5FIR1	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
Q5WFZ3	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
Q5WFZ5	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q6L2S1	Yes	Yes	Yes	No	Yes	No	Yes	No	No	NA
Q6MPV4	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8YI46	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q92NB8	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
R0EVG9	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
S2DJ52	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
S5XT68	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No
U2ENB5	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
U2EST4	Yes	Yes	No	NA	Yes	No	Yes	Yes	Yes	No
U4KM46	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
U6EB70	Yes	Yes	No	NA	No	NA	No	NA	No	NA
V6AP96	Yes	Yes	No	NA	Yes	No	Yes	No	Yes	No
W4A4P8	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
W6I5R7	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
W6IL53	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
W6R6M4	No	NA	NA	NA	NA	NA	NA	NA	NA	NA
W6WK03	Yes	Yes	Yes	No	Yes	No	Yes	No	Yes	No
W8XI42	Yes	Yes	No	NA	Yes	No	No	NA	No	NA
W9J151	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No
X8B5I2	Yes	Yes	Yes	No	Yes	No	No	NA	Yes	No
