protein	blank	glycolate	lactate	2-hydroxyglutarate	2-hydroxyoctanoate	2-hydroxystearate	mandelate
B7N6P4	456	937	1174	23887	1043	220	828
A0A0M7LBC1	-263	704	2178	11739	511	123	347
A0A0U5JSS4	235	1105	1187	875	700	207	765
A0A0L6Z980	-151	791	1028	676	560	49	499
D4MUV9	-417	593	63372	321	434		228
D4XIR1	368	1915	1583	1040	926	181	997
K0NHF1	747	1481	1403		1206	208	1153
G6F8W6	449	1496	1528	1009	772	95	847
A0A085FLP7	513	1601	1368	1043	898	176	956
Q5WIP4	591	2148	1732	1127	1019	243	1228
D4N087	787	2525	1394	1220	1368	321	991
K4LGZ0	640	2313	1848	1123	842	372	840
M4KHX7	412	1355	1356	993	811	49	769
A0A073CBY9	739	1755	1431	1001	1064	216	1068
A0A0P7WDX3	432	1561	1296	949	776	119	1060
A9QH69	447	5124	132176	1444	51604	872	1172
A4YVE0	283	1236	1422	1960	1694	57	1955
A0A087D1R1	416	2649	2326	30513	23740	295	1449
B1HZY7	265	2732	6854	7656	106264	4068	40303
C9Y9E7	563	6296	12518	6404	9294	2779	9461
S6BUT8	544	1404	1427	985	1010	-13	993
A0A087RXW1	385	2543	1559	797	744	137	761
I7IZ16	920	2055	1619	1084	1135	120	1239
F0TBY7	673	1699	1488	571	1084	76	1040
C4VMW0	529	4003	49747	939	35991	1513	2652
BSA_control	500	1113	1447	807	894	92	839
no_protein	0	0	0	0	0	0	0
B7N6P4	568	1158	1098	23948	838	136	784
A0A0M7LBC1	-41	627	2057	10124	445	43	301
A0A0U5JSS4	442	1116	1012	1092	670	291	597
A0A0L6Z980	170	760	984	607	496	40	455
D4MUV9	-105	659	47980	315	434	-43	228
D4XIR1	531	1804	1282	1263	629	167	745
K0NHF1	963	1587	1128	1464	1136	241	1113
G6F8W6	631	1580	1241	1140	872	216	768
A0A085FLP7	651	1530	1160	1299	772	231	829
Q5WIP4	686	1760	1365	1447	874	265	1081
D4N087	795	2594	1334	1563	1348	356	919
K4LGZ0	696		1516	1264	624	428	709
M4KHX7	570	1399	1120	1076	718	121	701
A0A073CBY9	686	2067	1108	1455	922	277	960
A0A0P7WDX3	524	1586	1152	1048	613	171	693
A9QH69	788	5931	126230	1641	46584	1019	840
A4YVE0	503	1108	982	2405	1540	84	1323
A0A087D1R1	612	2806	2226	31556	22445	345	1381
B1HZY7	430	2896	5818	7127	100078	4363	34729
C9Y9E7	710	7583	11329	7867	8730	2867	8039
S6BUT8	582	2002	1017	1375	714	41	784
A0A087RXW1	372	3079	1136	1065	478	185	624
I7IZ16	674	2716	1118	1547	810	137	868
F0TBY7	711	1999	886	1399	830	155	800
C4VMW0	471	5240	44086	1756	31328	1744	1807
BSA_control	536	1606	870	1364	638	144	488
no_protein	0	0	0	0	0	0	0
B7N6P4	688	959	1260	23722	916	260	804
A0A0M7LBC1	99	661	2212	9857	380	118	247
A0A0U5JSS4	712	1061	1241	901	608	296	627
A0A0L6Z980	304	811	1095	641	407	76	365
D4MUV9	3	619	59373	326	379	-138	119
D4XIR1	951	1932	1595	1056	908	208	837
K0NHF1	1159	1515	1369	1346	1155	249	1008
G6F8W6	728	913	1573	1040	744	164	717
A0A085FLP7	952	1093	1239	1060	840	169	919
Q5WIP4	1138	1716	1704	1198	966	281	1185
D4N087	1135	2631	1631	1365	1436	392	963
K4LGZ0	994	2315	1755	1072	799	274	877
M4KHX7	847	1263	1404	1057	746	85	731
A0A073CBY9	1042	1589	1465	1146	1010	322	1073
A0A0P7WDX3	803	1521	1375	1206	703	129	803
A9QH69	960	5267	121307	1377	53732	865	1057
A4YVE0	442	1149	1621	2028	1608	106	1617
A0A087D1R1	856	2777	2491	29200	21878	242	1425
B1HZY7	731	2675	6167	7674	105795	2814	41083
C9Y9E7	892	6055	12583	6892	9006	2452	10135
S6BUT8	1058	1612	1540	974	859	50	1079
A0A087RXW1	851	2356	1593	774	628	138	789
I7IZ16	1242	2048	1617	1086	1030	-63	1168
F0TBY7	1012	1552	765	929	1034	85	1055
C4VMW0	892	3947	48791	1156	33111	1362	2812
BSA_control	911	1108	1356	900	728	106	833
no_protein	0	0	0	0	0	0	0
